S.N.,Purpose of Visit,Male,Female,Total
1,Employment,723789,84604,808415
2,Tourism/Pilgrimage Visit,130926,73575,204518
3,Family/Relation,70808,96673,167485
4,Study,59978,48562,108542
5,Temporary Residence Visit,51876,40468,92349
6,Permanent Resident,36663,34251,70915
7,Seminar,17384,6873,24263
8,Dependent,8086,12527,20613
9,Health Treatment,10695,8809,19509
10,Business,16391,2573,18964
11,Official Visit,12279,3830,16111
12,Employment (Needs no Employment permit),6343,1742,8086
13,UN Mission,5263,795,6058
14,Sports Event,2680,973,3653
15,Concert/Cultural program/Events,1290,674,1964
16,Returning to home country,12,20,32
17,Others,16723,15635,32359
,Total,1171186,432584,1603836
